threshold,accuracy,precision,recall,f1_score,apcer,bpcer,far,frr,tp,tn,fp,fn
0.1,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.2,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.3,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.4,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.5,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.6,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.7,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.8,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.9,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.9905604720115662,0.40812821980538067,0.300768386388584,0.4083457526080477,0.3463969658659924,0.5920074349442379,0.5916542473919523,0.5920074349442379,0.5916542473919523,274,439,637,397
