subject_id,correct_predictions,total_images,accuracy
7273,23,93,0.2473
7278,29,62,0.4677
7226,31,62,0.5
7310,83,119,0.6975
7325,62,88,0.7045
7282,30,40,0.75
7439,3,4,0.75
7429,41,51,0.8039
7407,48,59,0.8136
7306,28,33,0.8485
7421,37,43,0.8605
7236,56,65,0.8615
7438,40,46,0.8696
7213,18,20,0.9
7206,37,41,0.9024
7396,28,31,0.9032
7334,75,83,0.9036
7322,19,21,0.9048
7216,21,23,0.913
7269,21,23,0.913
7307,75,81,0.9259
7362,29,31,0.9355
7373,18,19,0.9474
7419,21,22,0.9545
7370,21,22,0.9545
7239,24,25,0.96
7245,48,50,0.96
7358,50,51,0.9804
7246,30,30,1.0
7241,19,19,1.0
7268,19,19,1.0
7251,21,21,1.0
7351,17,17,1.0
7332,37,37,1.0
7323,16,16,1.0
7327,23,23,1.0
7301,17,17,1.0
7258,21,21,1.0
7266,15,15,1.0
7200,20,20,1.0
7235,11,11,1.0
7220,29,29,1.0
7376,2,2,1.0
7378,30,30,1.0
7395,30,30,1.0
7397,29,29,1.0
7415,18,18,1.0
7360,30,30,1.0
7430,5,5,1.0
