image,true_label,predicted_score,error_magnitude
542875.png,spoof,0.05370682,0.94629318
560130.png,spoof,0.05766333,0.94233667
542318.png,spoof,0.06133506,0.93866494
540360.png,spoof,0.08085067,0.91914933
515142.png,spoof,0.08663641,0.91336359
496322.png,spoof,0.08948796,0.91051204
541714.png,spoof,0.09100352,0.90899648
506296.png,spoof,0.09325158,0.90674842
548613.png,spoof,0.10638666,0.89361334
510938.png,spoof,0.10936713,0.89063287
541931.png,spoof,0.11796294,0.88203706
553222.png,spoof,0.12025024,0.87974976
495159.png,spoof,0.12199461,0.87800539
508992.png,spoof,0.1233335,0.8766665
548085.png,spoof,0.1258463,0.8741537
524667.png,spoof,0.12954727,0.87045273
525426.png,spoof,0.12980492,0.87019508
513919.png,spoof,0.13391663,0.86608337
555987.png,spoof,0.14224048,0.85775952
539307.png,spoof,0.14256874,0.85743126
