image,true_label,predicted_score,error_magnitude
510684.png,live,0.8059324,0.8059324
510221.png,live,0.7675655,0.7675655
523064.png,live,0.76674086,0.76674086
509868.png,live,0.76169467,0.76169467
526222.png,live,0.751706,0.751706
505046.png,live,0.7472069,0.7472069
549977.png,live,0.7211246,0.7211246
508548.png,live,0.71696424,0.71696424
509672.png,live,0.7114228,0.7114228
546216.png,live,0.70351684,0.70351684
497372.png,live,0.6983812,0.6983812
532708.png,live,0.6933108,0.6933108
534911.png,live,0.6888757,0.6888757
544828.png,live,0.68635243,0.68635243
548203.png,live,0.6835697,0.6835697
494450.png,live,0.68271434,0.68271434
534739.png,live,0.682305,0.682305
509976.png,live,0.67436194,0.67436194
548564.png,live,0.67244065,0.67244065
535411.png,live,0.6707495,0.6707495
