image,true_label,predicted_score,error_magnitude
500180.png,spoof,0.24172224,0.75827776
516181.png,spoof,0.24588548,0.75411452
501291.png,spoof,0.2638364,0.7361636
521570.png,spoof,0.2689935,0.7310065
499425.png,spoof,0.27697682,0.72302318
561007.png,spoof,0.28007737,0.71992263
530183.png,spoof,0.28190476,0.71809524
524404.png,spoof,0.28762442,0.71237558
515943.png,spoof,0.29327625,0.70672375
500637.png,spoof,0.29729888,0.70270112
534127.png,spoof,0.29808217,0.70191783
516912.png,spoof,0.30792165,0.6920783500000001
503130.png,spoof,0.30871007,0.6912899299999999
535513.png,spoof,0.3090977,0.6909023000000001
559302.png,spoof,0.31127948,0.68872052
532184.png,spoof,0.3115339,0.6884661000000001
541147.png,spoof,0.31315228,0.68684772
540360.png,spoof,0.31657064,0.68342936
523342.png,spoof,0.31796756,0.68203244
496322.png,spoof,0.31810796,0.6818920399999999
