image,true_label,predicted_score,error_magnitude
534373.png,spoof,0.35094732,0.64905268
511176.png,spoof,0.35114482,0.64885518
530368.png,spoof,0.36583456,0.6341654400000001
551912.png,spoof,0.38896897,0.6110310299999999
557370.png,spoof,0.40287882,0.59712118
495709.png,spoof,0.42385703,0.57614297
557536.png,spoof,0.42840886,0.57159114
496124.png,spoof,0.44348958,0.55651042
541931.png,spoof,0.45827624,0.54172376
507554.png,spoof,0.46275607,0.53724393
524667.png,spoof,0.4643086,0.5356913999999999
548085.png,spoof,0.4657473,0.5342527
510938.png,spoof,0.46835655,0.53164345
542508.png,spoof,0.4683915,0.5316084999999999
546141.png,spoof,0.4688492,0.5311508
559868.png,spoof,0.46892267,0.53107733
555987.png,spoof,0.4695493,0.5304507
524256.png,spoof,0.4697318,0.5302682000000001
510309.png,spoof,0.46981993,0.53018007
553222.png,spoof,0.47033435,0.52966565
