image,true_label,predicted_score,error_magnitude
549513.png,live,0.74671185,0.74671185
511034.png,live,0.71807593,0.71807593
548167.png,live,0.70721024,0.70721024
556588.png,live,0.6969327,0.6969327
495146.png,live,0.69564056,0.69564056
551587.png,live,0.69187635,0.69187635
529515.png,live,0.69114614,0.69114614
552269.png,live,0.6887373,0.6887373
537250.png,live,0.6880544,0.6880544
538685.png,live,0.6810748,0.6810748
542480.png,live,0.6808019,0.6808019
505597.png,live,0.67885005,0.67885005
559366.png,live,0.6788358,0.6788358
542440.png,live,0.6785966,0.6785966
528206.png,live,0.67857635,0.67857635
535335.png,live,0.6783514,0.6783514
539793.png,live,0.67815995,0.67815995
548494.png,live,0.67813486,0.67813486
538009.png,live,0.67753434,0.67753434
500049.png,live,0.67701393,0.67701393
