image,true_label,predicted_score,error_magnitude
512515.png,live,0.99966,0.99966
561543.png,live,0.99939156,0.99939156
515791.png,live,0.99931383,0.99931383
538490.png,live,0.9992754,0.9992754
506629.png,live,0.9992716,0.9992716
527846.png,live,0.99925274,0.99925274
555932.png,live,0.99918526,0.99918526
556588.png,live,0.99916506,0.99916506
518708.png,live,0.9991449,0.9991449
499443.png,live,0.9990595,0.9990595
513225.png,live,0.9990557,0.9990557
523861.png,live,0.998973,0.998973
494491.png,live,0.99895775,0.99895775
512581.png,live,0.9988728,0.9988728
494579.png,live,0.99882585,0.99882585
542179.png,live,0.9987425,0.9987425
524446.png,live,0.99870527,0.99870527
512126.png,live,0.99870217,0.99870217
556494.png,live,0.99869686,0.99869686
540955.png,live,0.99869186,0.99869186
