subject_id,correct_predictions,total_images,accuracy
6408,26,155,0.1677
6399,417,620,0.6726
6421,40,59,0.678
6411,52,73,0.7123
6360,13,18,0.7222
6390,3,4,0.75
6324,52,69,0.7536
6323,138,174,0.7931
6419,121,152,0.7961
6441,230,288,0.7986
6407,39,48,0.8125
6384,38,46,0.8261
6447,12,14,0.8571
6388,14,16,0.875
6433,24,26,0.9231
6432,15,16,0.9375
6372,17,18,0.9444
6370,40,42,0.9524
6424,44,46,0.9565
6329,87,90,0.9667
6434,34,35,0.9714
6313,201,202,0.995
6356,17,17,1.0
6336,159,159,1.0
6382,2,2,1.0
6414,13,13,1.0
